,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,primary_refrig_hxr_superheat,Primary Refrig. HXR Useful Superheat (F),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,primary_refrig_sat_cond_temp,Primary Refrig. Sat. Cond. Temp (F),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,primary_refrig_return_gas_temp,Primary Refrig. Return Gas Temp (F),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,pump_skid_model,Pump Skid Model,combo,user,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,pump_skid_min_capacity_gpm,Pump Skid Minimum Capacity (GPM),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,pump_skid_max_capacity_gpm,Pump Skid Maximum Capacity (GPM),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,pump_skid_hxr_approach,Pump Skid HXR Approach (F),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TCO2 (R744),,,,,,,"HFC DX (R404A, R407A, R448A etc.)",,,,,,,SCO2 (Secondary CO2),,,,,,,Glycol,,,,,,,,,,,,,,
,Circuit Designer,,,,,,Type,Case,,Walk-in,Skid,Custom,Stub,,Case,,Walk-in,Skid,Custom,Stub,,Case,,Walk-in,Skid,Custom,Stub,,Case,,Walk-in,Skid,Custom,Stub,,,,,,,,,
,,,,,,,Mode,database (y = reference),manual,Manual,-,Manual,-,,database (y = reference),manual,Manual,-,Manual,-,,database (y = reference),manual,Manual,-,Manual,-,,database (y = reference),manual,Manual,-,Manual,-,,,,,,,,,
,Field,Display Name,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,circuit_name,Name,text,,,,,y,y,y,ref,y,y,,y,y,y,ref,y,y,,y,y,y,-,y,y,,y,y,y,-,y,y,,,,,,,,,
,circuit_type,Type,combo,,,,,y,y,y,,y,y,,y,y,y,,y,y,,y,y,y,-,y,y,,y,y,y,-,y,y,,,,,,,,,
,mode,Mode,combo,,,,,y,y,y,,,,,y,y,y,,,,,y,y,y,-,,,,y,y,y,-,,,,,,,,,,,
,model,Model,combo,,pull from database,,,y,y,y,ref,y,,,y,y,y,ref,y,,,y,y,y,-,y,,,y,y,y,-,y,,,,,,,,,,
,evap_hx_qty,Evap./Hx Qty,int,,,,,,,y,,y,,,,,y,,y,,,,,y,-,y,,,,,y,-,y,,,,,,,,,,
,manufacturer,Manuf.,text,,,,,y,y,y,ref,y,,,y,y,y,ref,y,,,y,y,y,-,y,,,y,y,y,-,y,,,,,,,,,,
,length_unit,ft/drs,combo,,FT or DRS,,,y,y,,,y,,,y,y,,,y,,,y,y,,-,y,,,y,y,,-,y,,,,,,,,,,
,total_length,#,int,,,,,y,y,,,y,,,y,y,,,y,,,y,y,,-,y,,,y,y,,-,y,,,,,,,,,,
,qty_2drs_4ft,2drs/4',int,,,,,user,y,,,y,,,user,y,,,y,,,user,y,,-,y,,,user,y,,-,y,,,,,,,,,,
